date,product_id,product_name,category,unit_price,quantity_sold,revenue,month,day_of_week
2025-01-01,E001,13A Plug base (ACL),Electrical,650,11,7150,1,2
2025-01-01,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,1,2
2025-01-01,E003,LED 9W pin (GREEN),Electrical,575,6,3450,1,2
2025-01-01,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,2
2025-01-01,P002,Valve socket 1/2,Plumbing,40,22,880,1,2
2025-01-01,P003,Elbow socket 1/2,Plumbing,40,14,560,1,2
2025-01-01,O001,Caltex 20W50,Oil,1200,9,10800,1,2
2025-01-02,E001,13A Plug base (ACL),Electrical,650,6,3900,1,3
2025-01-02,E002,1 GANG Switch (KEVILTON),Electrical,320,10,3200,1,3
2025-01-02,E003,LED 9W pin (GREEN),Electrical,575,28,16100,1,3
2025-01-02,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,3
2025-01-02,P002,Valve socket 1/2,Plumbing,40,21,840,1,3
2025-01-02,P003,Elbow socket 1/2,Plumbing,40,28,1120,1,3
2025-01-02,O001,Caltex 20W50,Oil,1200,4,4800,1,3
2025-01-03,E001,13A Plug base (ACL),Electrical,650,8,5200,1,4
2025-01-03,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,1,4
2025-01-03,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,4
2025-01-03,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,4
2025-01-03,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,4
2025-01-03,P002,Valve socket 1/2,Plumbing,40,26,1040,1,4
2025-01-03,P003,Elbow socket 1/2,Plumbing,40,8,320,1,4
2025-01-04,E001,13A Plug base (ACL),Electrical,650,11,7150,1,5
2025-01-04,E002,1 GANG Switch (KEVILTON),Electrical,320,9,2880,1,5
2025-01-04,E003,LED 9W pin (GREEN),Electrical,575,9,5175,1,5
2025-01-04,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,5
2025-01-04,P002,Valve socket 1/2,Plumbing,40,31,1240,1,5
2025-01-04,P003,Elbow socket 1/2,Plumbing,40,16,640,1,5
2025-01-04,O001,Caltex 20W50,Oil,1200,9,10800,1,5
2025-01-05,E002,1 GANG Switch (KEVILTON),Electrical,320,21,6720,1,6
2025-01-05,E003,LED 9W pin (GREEN),Electrical,575,31,17825,1,6
2025-01-05,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,6
2025-01-05,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,6
2025-01-05,P002,Valve socket 1/2,Plumbing,40,11,440,1,6
2025-01-05,P003,Elbow socket 1/2,Plumbing,40,30,1200,1,6
2025-01-05,O001,Caltex 20W50,Oil,1200,10,12000,1,6
2025-01-06,E002,1 GANG Switch (KEVILTON),Electrical,320,12,3840,1,0
2025-01-06,E003,LED 9W pin (GREEN),Electrical,575,12,6900,1,0
2025-01-07,E001,13A Plug base (ACL),Electrical,650,18,11700,1,1
2025-01-07,E003,LED 9W pin (GREEN),Electrical,575,24,13800,1,1
2025-01-07,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,1
2025-01-07,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,1
2025-01-07,P002,Valve socket 1/2,Plumbing,40,10,400,1,1
2025-01-07,P003,Elbow socket 1/2,Plumbing,40,15,600,1,1
2025-01-07,O001,Caltex 20W50,Oil,1200,9,10800,1,1
2025-01-08,E001,13A Plug base (ACL),Electrical,650,26,16900,1,2
2025-01-08,E002,1 GANG Switch (KEVILTON),Electrical,320,31,9920,1,2
2025-01-08,E003,LED 9W pin (GREEN),Electrical,575,29,16675,1,2
2025-01-08,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,2
2025-01-08,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,1,2
2025-01-08,P002,Valve socket 1/2,Plumbing,40,11,440,1,2
2025-01-08,P003,Elbow socket 1/2,Plumbing,40,18,720,1,2
2025-01-08,O001,Caltex 20W50,Oil,1200,9,10800,1,2
2025-01-09,E001,13A Plug base (ACL),Electrical,650,24,15600,1,3
2025-01-09,E002,1 GANG Switch (KEVILTON),Electrical,320,30,9600,1,3
2025-01-09,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,3
2025-01-09,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,3
