date,product_id,product_name,category,unit_price,quantity_sold,revenue,month,day_of_week,year,day,week_of_year,is_weekend,calculated_revenue,rolling_avg_qty,previous_qty
2025-01-01,E001,13A Plug base (ACL),Electrical,650,11,7150,1,2,2025,1,1,0,7150,11.0,0.0
2025-01-01,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,1,2,2025,1,1,0,2560,8.0,0.0
2025-01-01,E003,LED 9W pin (GREEN),Electrical,575,6,3450,1,2,2025,1,1,0,3450,6.0,0.0
2025-01-01,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,2,2025,1,1,0,660,2.0,0.0
2025-01-01,P002,Valve socket 1/2,Plumbing,40,22,880,1,2,2025,1,1,0,880,22.0,0.0
2025-01-01,P003,Elbow socket 1/2,Plumbing,40,14,560,1,2,2025,1,1,0,560,14.0,0.0
2025-01-01,O001,Caltex 20W50,Oil,1200,9,10800,1,2,2025,1,1,0,10800,9.0,0.0
2025-01-02,E001,13A Plug base (ACL),Electrical,650,6,3900,1,3,2025,2,1,0,3900,8.5,11.0
2025-01-02,E002,1 GANG Switch (KEVILTON),Electrical,320,10,3200,1,3,2025,2,1,0,3200,9.0,8.0
2025-01-02,E003,LED 9W pin (GREEN),Electrical,575,28,16100,1,3,2025,2,1,0,16100,17.0,6.0
2025-01-02,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,3,2025,2,1,0,660,2.0,2.0
2025-01-02,P002,Valve socket 1/2,Plumbing,40,21,840,1,3,2025,2,1,0,840,21.5,22.0
2025-01-02,P003,Elbow socket 1/2,Plumbing,40,28,1120,1,3,2025,2,1,0,1120,21.0,14.0
2025-01-02,O001,Caltex 20W50,Oil,1200,4,4800,1,3,2025,2,1,0,4800,6.5,9.0
2025-01-03,E001,13A Plug base (ACL),Electrical,650,8,5200,1,4,2025,3,1,0,5200,8.333333333333334,6.0
2025-01-03,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,1,4,2025,3,1,0,6080,12.333333333333334,10.0
2025-01-03,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,4,2025,3,1,0,5750,14.666666666666666,28.0
2025-01-03,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,4,2025,3,1,0,5600,2.0,0.0
2025-01-03,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,4,2025,3,1,0,1650,3.0,2.0
2025-01-03,P002,Valve socket 1/2,Plumbing,40,26,1040,1,4,2025,3,1,0,1040,23.0,21.0
2025-01-03,P003,Elbow socket 1/2,Plumbing,40,8,320,1,4,2025,3,1,0,320,16.666666666666668,28.0
2025-01-04,E001,13A Plug base (ACL),Electrical,650,11,7150,1,5,2025,4,1,1,7150,8.333333333333334,8.0
2025-01-04,E002,1 GANG Switch (KEVILTON),Electrical,320,9,2880,1,5,2025,4,1,1,2880,12.666666666666666,19.0
2025-01-04,E003,LED 9W pin (GREEN),Electrical,575,9,5175,1,5,2025,4,1,1,5175,15.666666666666666,10.0
2025-01-04,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,5,2025,4,1,1,2640,5.0,5.0
2025-01-04,P002,Valve socket 1/2,Plumbing,40,31,1240,1,5,2025,4,1,1,1240,26.0,26.0
2025-01-04,P003,Elbow socket 1/2,Plumbing,40,16,640,1,5,2025,4,1,1,640,17.333333333333332,8.0
2025-01-04,O001,Caltex 20W50,Oil,1200,9,10800,1,5,2025,4,1,1,10800,7.333333333333333,4.0
2025-01-05,E002,1 GANG Switch (KEVILTON),Electrical,320,21,6720,1,6,2025,5,1,1,6720,16.333333333333332,9.0
2025-01-05,E003,LED 9W pin (GREEN),Electrical,575,31,17825,1,6,2025,5,1,1,17825,16.666666666666668,9.0
2025-01-05,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,6,2025,5,1,1,5600,2.0,2.0
2025-01-05,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,6,2025,5,1,1,1650,6.0,8.0
2025-01-05,P002,Valve socket 1/2,Plumbing,40,11,440,1,6,2025,5,1,1,440,22.666666666666668,31.0
2025-01-05,P003,Elbow socket 1/2,Plumbing,40,30,1200,1,6,2025,5,1,1,1200,18.0,16.0
2025-01-05,O001,Caltex 20W50,Oil,1200,10,12000,1,6,2025,5,1,1,12000,7.666666666666667,9.0
2025-01-06,E002,1 GANG Switch (KEVILTON),Electrical,320,12,3840,1,0,2025,6,2,0,3840,14.0,21.0
2025-01-06,E003,LED 9W pin (GREEN),Electrical,575,12,6900,1,0,2025,6,2,0,6900,17.333333333333332,31.0
2025-01-07,E001,13A Plug base (ACL),Electrical,650,18,11700,1,1,2025,7,2,0,11700,12.333333333333334,11.0
2025-01-07,E003,LED 9W pin (GREEN),Electrical,575,24,13800,1,1,2025,7,2,0,13800,22.333333333333332,12.0
2025-01-07,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,1,2025,7,2,0,5600,2.0,2.0
2025-01-07,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,5,1650,1,1,2025,7,2,0,1650,6.0,5.0
2025-01-07,P002,Valve socket 1/2,Plumbing,40,10,400,1,1,2025,7,2,0,400,17.333333333333332,11.0
2025-01-07,P003,Elbow socket 1/2,Plumbing,40,15,600,1,1,2025,7,2,0,600,20.333333333333332,30.0
2025-01-07,O001,Caltex 20W50,Oil,1200,9,10800,1,1,2025,7,2,0,10800,9.333333333333334,10.0
2025-01-08,E001,13A Plug base (ACL),Electrical,650,26,16900,1,2,2025,8,2,0,16900,18.333333333333332,18.0
2025-01-08,E002,1 GANG Switch (KEVILTON),Electrical,320,31,9920,1,2,2025,8,2,0,9920,21.333333333333332,12.0
2025-01-08,E003,LED 9W pin (GREEN),Electrical,575,29,16675,1,2,2025,8,2,0,16675,21.666666666666668,24.0
2025-01-08,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,2,2025,8,2,0,2800,1.6666666666666667,2.0
2025-01-08,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,1,2,2025,8,2,0,1320,4.666666666666667,5.0
2025-01-08,P002,Valve socket 1/2,Plumbing,40,11,440,1,2,2025,8,2,0,440,10.666666666666666,10.0
2025-01-08,P003,Elbow socket 1/2,Plumbing,40,18,720,1,2,2025,8,2,0,720,21.0,15.0
2025-01-08,O001,Caltex 20W50,Oil,1200,9,10800,1,2,2025,8,2,0,10800,9.333333333333334,9.0
2025-01-09,E001,13A Plug base (ACL),Electrical,650,24,15600,1,3,2025,9,2,0,15600,22.666666666666668,26.0
2025-01-09,E002,1 GANG Switch (KEVILTON),Electrical,320,30,9600,1,3,2025,9,2,0,9600,24.333333333333332,31.0
2025-01-09,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,3,2025,9,2,0,14375,26.0,29.0
2025-01-09,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,3,2025,9,2,0,2640,5.666666666666667,4.0
2025-01-09,P002,Valve socket 1/2,Plumbing,40,28,1120,1,3,2025,9,2,0,1120,16.333333333333332,11.0
2025-01-09,O001,Caltex 20W50,Oil,1200,9,10800,1,3,2025,9,2,0,10800,9.0,9.0
2025-01-10,E001,13A Plug base (ACL),Electrical,650,6,3900,1,4,2025,10,2,0,3900,18.666666666666668,24.0
2025-01-10,E002,1 GANG Switch (KEVILTON),Electrical,320,15,4800,1,4,2025,10,2,0,4800,25.333333333333332,30.0
2025-01-10,E003,LED 9W pin (GREEN),Electrical,575,15,8625,1,4,2025,10,2,0,8625,23.0,25.0
2025-01-10,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,4,2025,10,2,0,2800,1.3333333333333333,1.0
2025-01-10,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,4,2025,10,2,0,660,4.666666666666667,8.0
2025-01-10,P002,Valve socket 1/2,Plumbing,40,18,720,1,4,2025,10,2,0,720,19.0,28.0
2025-01-10,P003,Elbow socket 1/2,Plumbing,40,31,1240,1,4,2025,10,2,0,1240,21.333333333333332,18.0
2025-01-10,O001,Caltex 20W50,Oil,1200,4,4800,1,4,2025,10,2,0,4800,7.333333333333333,9.0
2025-01-11,E002,1 GANG Switch (KEVILTON),Electrical,320,22,7040,1,5,2025,11,2,1,7040,22.333333333333332,15.0
2025-01-11,E003,LED 9W pin (GREEN),Electrical,575,20,11500,1,5,2025,11,2,1,11500,20.0,15.0
2025-01-11,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,5,2025,11,2,1,5600,1.3333333333333333,1.0
2025-01-11,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,10,3300,1,5,2025,11,2,1,3300,6.666666666666667,2.0
2025-01-11,P002,Valve socket 1/2,Plumbing,40,10,400,1,5,2025,11,2,1,400,18.666666666666668,18.0
2025-01-11,P003,Elbow socket 1/2,Plumbing,40,11,440,1,5,2025,11,2,1,440,20.0,31.0
2025-01-11,O001,Caltex 20W50,Oil,1200,1,1200,1,5,2025,11,2,1,1200,4.666666666666667,4.0
2025-01-12,E001,13A Plug base (ACL),Electrical,650,8,5200,1,6,2025,12,2,1,5200,12.666666666666666,6.0
2025-01-12,E002,1 GANG Switch (KEVILTON),Electrical,320,30,9600,1,6,2025,12,2,1,9600,22.333333333333332,22.0
2025-01-12,E003,LED 9W pin (GREEN),Electrical,575,22,12650,1,6,2025,12,2,1,12650,19.0,20.0
2025-01-12,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,6,2025,12,2,1,2640,6.666666666666667,10.0
2025-01-12,P002,Valve socket 1/2,Plumbing,40,21,840,1,6,2025,12,2,1,840,16.333333333333332,10.0
2025-01-12,O001,Caltex 20W50,Oil,1200,8,9600,1,6,2025,12,2,1,9600,4.333333333333333,1.0
2025-01-13,E001,13A Plug base (ACL),Electrical,650,20,13000,1,0,2025,13,3,0,13000,11.333333333333334,8.0
2025-01-13,E002,1 GANG Switch (KEVILTON),Electrical,320,20,6400,1,0,2025,13,3,0,6400,24.0,30.0
2025-01-13,E003,LED 9W pin (GREEN),Electrical,575,29,16675,1,0,2025,13,3,0,16675,23.666666666666668,22.0
2025-01-13,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,0,2025,13,3,0,5600,1.6666666666666667,2.0
2025-01-13,P002,Valve socket 1/2,Plumbing,40,6,240,1,0,2025,13,3,0,240,12.333333333333334,21.0
2025-01-13,P003,Elbow socket 1/2,Plumbing,40,30,1200,1,0,2025,13,3,0,1200,24.0,11.0
2025-01-13,O001,Caltex 20W50,Oil,1200,10,12000,1,0,2025,13,3,0,12000,6.333333333333333,8.0
2025-01-14,E001,13A Plug base (ACL),Electrical,650,21,13650,1,1,2025,14,3,0,13650,16.333333333333332,20.0
2025-01-14,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,1,1,2025,14,3,0,2560,19.333333333333332,20.0
2025-01-14,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,1,2025,14,3,0,5750,20.333333333333332,29.0
2025-01-14,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,1,2025,14,3,0,2800,1.6666666666666667,2.0
2025-01-14,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,1,1,2025,14,3,0,330,6.333333333333333,8.0
2025-01-14,P003,Elbow socket 1/2,Plumbing,40,6,240,1,1,2025,14,3,0,240,15.666666666666666,30.0
